, 0, 0
3145, 5000, 0, 0
3146, 5000, 0, 0
3149, 5000, 0, 0
3152, 5000, 0, 0
3154, 5000, 0, 0
3156, 5000, 0, 0
3157, 5000, 0, 0
3157, 5000, 0, 0
3157, 5000, 0, 0
3157, 5000, 0, 0
3157, 5000, 0, 0
3157, 5000, 0, 0
3157, 5000, 0, 0
3157, 5000, 0, 0
3158, 5000, 0, 0
3159, 5000, 0, 0
3160, 5000, 0, 0
3160, 5000, 0, 0
3162, 5000, 0, 0
3164, 5000, 0, 0
3166, 5000, 0, 0
3169, 5000, 0, 0
3172, 5000, 0, 0
3176, 5000, 0, 0
3179, 5000, 0, 0
3184, 5000, 0, 0
3189, 5000, 0, 0
3194, 5000, 0, 0
3200, 5000, 0, 0
3206, 5000, 0, 0
3213, 5000, 0, 0
3220, 5000, 0, 0
3229, 5000, 0, 0
3237, 5000, 0, 0
